TICKER,Type,Year,TOI,Net Interest Income,Fees Income,OPEX,Provision expense,PBT,Loan,NIM,Core TOI,Core PBT,Non-recurring income,Core TOI_Prior_Year,PBT_Prior_Year,OPEX_Prior_Year,Provision expense_Prior_Year,Non-recurring income_Prior_Year,Net Interest Income_Prior_Year,Fees Income_Prior_Year,Loan_Prior_Year,NIM_Prior_Year,Core_TOI_Change,PBT_Change,OPEX_Change,Provision_Change,Non_Recurring_Change,NII_Change,Fee_Change,Loan_Growth_%,Small_PBT_Flag,Scores_Capped,PBT_Growth_%,Top_Line_Impact,Cost_Cutting_Impact,Non_Recurring_Impact,NII_Impact,Fee_Impact,OPEX_Impact,Provision_Impact,Loan_Impact,NIM_Impact,Total_Impact
BVB,Private_3,2024,2477589000000.0,2306248000000.0,37546000000.0,-1475162000000.0,-611837000000.0,390590000000.0,68142074000000.0,0.0254117305817834,2343794000000.0,256795000000.0,133795000000.0,1533032000000.0,71606000000.0,-1406915000000.0,-276515000000.0,222004000000.0,1478618000000.0,54414000000.0,57768233000000.0,0.0187383150314567,810762000000.0,318984000000.0,-68247000000.0,-335322000000.0,-88209000000.0,827630000000.0,-16868000000.0,16.478144239613364,False,False,445.47104991201854,1132.4,-563.5,-123.4,1156.0,-23.6,-95.3,-468.2,8.2,1147.8,445.5
CTG,SOCB,2018,28445527000000.0,22211832000000.0,2770777000000.0,-14084040000000.0,-7802854000000.0,6558633000000.0,864925948000000.0,0.0362598898681423,24982609000000.0,3095715000000.0,3462918000000.0,,,,,,,,,,,,,,,,,,False,False,0.0,,,,,,,,,,
CTG,SOCB,2019,40519386000000.0,33199037000000.0,4055378000000.0,-15734862000000.0,-13003531000000.0,11780993000000.0,935270945000000.0,0.0284630951949824,37254415000000.0,8516022000000.0,3264971000000.0,24982609000000.0,6558633000000.0,-14084040000000.0,-7802854000000.0,3462918000000.0,22211832000000.0,2770777000000.0,864925948000000.0,0.0362598898681423,12271806000000.0,5222360000000.0,-1650822000000.0,-5200677000000.0,-197947000000.0,10987205000000.0,1284601000000.0,7.815255906010499,False,False,79.62573908312906,187.1,-104.5,-3.0,167.5,19.6,-25.2,-79.3,3.9,163.6,79.6
CTG,SOCB,2020,45317434000000.0,35580829000000.0,4340916000000.0,-16085348000000.0,-12147237000000.0,17084849000000.0,1015333270000000.0,0.0284352661848681,39921745000000.0,11689160000000.0,5395689000000.0,37254415000000.0,11780993000000.0,-15734862000000.0,-13003531000000.0,3264971000000.0,33199037000000.0,4055378000000.0,935270945000000.0,0.0284630951949824,2667330000000.0,5303856000000.0,-350486000000.0,856294000000.0,2130718000000.0,2381792000000.0,285538000000.0,8.208976929745843,False,False,45.02044946465888,22.6,4.3,18.1,20.2,2.4,-3.0,7.2,4.1,16.1,45.0
CTG,SOCB,2021,53156632000000.0,41788465000000.0,4960506000000.0,-17185850000000.0,-18381626000000.0,17589156000000.0,1130667767000000.0,0.0300629790821215,46748971000000.0,11181495000000.0,6407661000000.0,39921745000000.0,17084849000000.0,-16085348000000.0,-12147237000000.0,5395689000000.0,35580829000000.0,4340916000000.0,1015333270000000.0,0.0284352661848681,6827226000000.0,504307000000.0,-1100502000000.0,-6234389000000.0,1011972000000.0,6207636000000.0,619590000000.0,10.748782969949703,False,True,2.951779088009499,14.8,-14.8,5.9,14.8,3.6,-6.4,-14.8,5.4,9.4,5.9
CTG,SOCB,2022,64116690000000.0,47791955000000.0,5861949000000.0,-19007454000000.0,-24163177000000.0,20946059000000.0,1274821709000000.0,0.0297533155495866,53653904000000.0,10483273000000.0,10462786000000.0,46748971000000.0,17589156000000.0,-17185850000000.0,-18381626000000.0,6407661000000.0,41788465000000.0,4960506000000.0,1130667767000000.0,0.0300629790821215,6904933000000.0,3356903000000.0,-1821604000000.0,-5781551000000.0,4055125000000.0,6003490000000.0,901443000000.0,11.985414481189775,False,False,19.085071506557792,39.3,-43.2,23.1,34.1,5.1,-10.4,-32.9,6.0,28.1,19.2
CTG,SOCB,2023,70548165000000.0,52957478000000.0,7113729000000.0,-20443499000000.0,-25115141000000.0,24989525000000.0,1473344564000000.0,0.0285723384640053,60071207000000.0,14512567000000.0,10476958000000.0,53653904000000.0,20946059000000.0,-19007454000000.0,-24163177000000.0,10462786000000.0,47791955000000.0,5861949000000.0,1274821709000000.0,0.0297533155495866,6417303000000.0,4043466000000.0,-1436045000000.0,-951964000000.0,14172000000.0,5165523000000.0,1251780000000.0,14.447659659492517,False,False,19.304185097540305,30.6,-11.4,0.1,24.7,6.0,-6.9,-4.5,7.2,17.5,19.3
CTG,SOCB,2024,81908683000000.0,62402794000000.0,6695988000000.0,-22545929000000.0,-27598829000000.0,31763925000000.0,1721954714000000.0,0.0288169849309733,69098782000000.0,18954024000000.0,12809901000000.0,60071207000000.0,24989525000000.0,-20443499000000.0,-25115141000000.0,10476958000000.0,52957478000000.0,7113729000000.0,1473344564000000.0,0.0285723384640053,9027575000000.0,6774400000000.0,-2102430000000.0,-2483688000000.0,2332943000000.0,9445316000000.0,-417741000000.0,15.560993094556697,False,False,27.10895865367589,36.1,-18.4,9.3,37.8,-1.7,-8.4,-9.9,7.8,30.0,27.0
EIB,Private_2,2018,4451578000000.0,3206895000000.0,346658000000.0,-2900904000000.0,-723546000000.0,827128000000.0,104042577000000.0,0.0020605421805174,3553553000000.0,-70897000000.0,898025000000.0,,,,,,,,,,,,,,,,,,False,False,0.0,,,,,,,,,,
EIB,Private_2,2019,4486288000000.0,3220366000000.0,383536000000.0,-2700748000000.0,-690291000000.0,1095249000000.0,113254792000000.0,0.0208834710697872,3603902000000.0,212863000000.0,882386000000.0,3553553000000.0,827128000000.0,-2900904000000.0,-723546000000.0,898025000000.0,3206895000000.0,346658000000.0,104042577000000.0,0.0020605421805174,50349000000.0,268121000000.0,200156000000.0,33255000000.0,-15639000000.0,13471000000.0,36878000000.0,8.478901555407235,False,False,32.41590177094718,6.1,28.2,-1.9,1.6,4.5,24.2,4.0,4.2,-2.6,32.4
