TICKER,Type,YEARREPORT,LENGTHREPORT,ENDDATE_x,Year,TOI,PBT,NIM,Loan yield,Deposit yield,ROA,ROE,NPL,GROUP 2,NPL Formation (%),G2 Formation (%),NPL Coverage ratio,Provision/ Total Loan,Loan,Deposit,Total Assets,Total Equity,Leverage Multiple,Net Interest Income,OPEX,PPOP,Provision expense,NPATMI,LDR,CASA,CIR,Individual %,Fees/ Total asset,Provision on Balance Sheet,Write-off,Overdue_loan
NAB,Private_3,2020,5,2020-12-31,2020,3194464000000.0,1005486000000.0,0.024121562756972963,0.10748563889936547,0.007576545941422981,0.0069838848575669195,0.1383602867164598,0.00834088263375461,0.026225799783065506,0.004676748035880266,0.008743775117549016,1.1446374551272571,0.00954728667141601,89171618000000.0,98254031000000.0,134315195000000.0,6598770000000.0,20.35458047484607,2603945000000.0,-1630769000000.0,1563695000000.0,-558209000000.0,799664000000.0,0.9075619299527772,0.06289782655329429,0.5104984748615105,0.269657924849438,0.0010253856036500542,-851347000000.0,-905886000000.0,0.034566682416820114
NAB,Private_3,2021,5,2021-12-31,2021,4818674000000.0,1799091000000.0,0.031173822696259176,0.10556134104061285,0.003653630393020217,0.009976348648521302,0.19617082291297117,0.01571442451718974,0.01964636955632761,0.010864107007680403,0.007254965363530804,0.7951971841201336,0.012496066126137672,102653266000000.0,115319388000000.0,153237506000000.0,8024842000000.0,19.095392283112865,4283189000000.0,-2239731000000.0,2578943000000.0,-779852000000.0,1434363000000.0,0.8901648524183982,0.09404173216736114,0.46480235019011457,0.24738069764356702,0.001444256995520275,-1282762000000.0,-99403000000.0,0.035360794073517346
NAB,Private_3,2022,5,2022-12-31,2022,5973300000000.0,2267979000000.0,0.031931766216803374,0.1036985258570029,0.011424654792970078,0.010929789903905564,0.1748884211764549,0.013478838672178315,0.028039238289573037,0.0068483938932834346,0.01985333812954378,0.7722186294017396,0.010408610325356702,119538340000000.0,124993335000000.0,177578734000000.0,12649780000000.0,14.038088725653727,5119121000000.0,-2841928000000.0,3131372000000.0,-863393000000.0,1807876000000.0,0.9563577129932568,0.06877232294025917,0.4757718514054208,0.2254502827663984,0.0016619014834338241,-1244228000000.0,-704909000000.0,0.04151807696175135
NAB,Private_3,2023,5,2023-12-31,2023,7644211000000.0,3303952000000.0,0.035343851455320575,0.13216610254687752,0.019050540614557784,0.013531810737102756,0.18798646415483503,0.021133731246373112,0.03814850447906167,0.02368241017902708,0.04078069847715804,0.516472730119413,0.010914995874424266,141438441000000.0,145428945000000.0,209896239000000.0,15241792000000.0,13.771099815559745,6647309000000.0,-3492455000000.0,4151756000000.0,-847804000000.0,2621619000000.0,0.972560455554429,0.07601721239193476,0.4568757979077239,0.20104419868377946,0.00304551798755787,-1543800000000.0,-1453072000000.0,0.059282235725434784
NAB,Private_3,2024,5,2024-12-31,2024,9052063000000.0,4545398000000.0,0.03580249120041252,0.0998638389125888,0.013841203043190581,0.015854474985564648,0.2089232001146818,0.02330407582010175,0.014723151844957347,0.006531470464949483,-0.014156208070760621,0.5282983101213897,0.012311503874700496,167737997000000.0,158334003000000.0,245128983000000.0,19288533000000.0,12.70853428822192,7937820000000.0,-3985763000000.0,5066300000000.0,-520902000000.0,3607093000000.0,1.059393395112988,0.06627309864704173,0.4403154286486959,0.17752175989686664,0.0024656479372037973,-2065107000000.0,-3944000000.0,0.0380272276650591
NVB,Private_3,2018,5,2018-12-31,2018,1224017000000.0,87830000000.0,0.006558391694259498,0.036909799341890676,0.0016277137745801897,0.00022824669132912894,0.003218286831501149,0.016700037738852133,0.037678836621885266,,,0.6589610899709446,0.011004675070949911,35674111000000.0,47148818000000.0,72422170000000.0,3232766000000.0,22.402540115801763,981173000000.0,-999842000000.0,224175000000.0,-136345000000.0,36240000000.0,0.7566278968011457,0.08966052977192344,0.8168530339039409,0.0,0.00016010648841826124,-392582000000.0,,0.0543788743607374
NVB,Private_3,2019,5,2019-12-31,2019,1241789000000.0,55041000000.0,0.0182234866147024,0.11397774427779726,0.006017167579423214,0.0005646260312519762,0.011444354340469408,0.01925817428965717,0.03626133301018715,,,0.5851012684754873,0.011267982205400425,37910603000000.0,59095308000000.0,80394022000000.0,4306672000000.0,18.667319452235972,1158408000000.0,-862619000000.0,379170000000.0,-324129000000.0,43142000000.0,0.6415162943223851,0.08313841092088055,0.6946582712522015,0.0,0.0006641311936368628,-427176000000.0,,0.05551950729984432
NVB,Private_3,2020,5,2020-12-31,2020,1654923000000.0,3738000000.0,0.021325800946518328,0.1217642056213656,0.002888761221265017,1.4259220942287203e-05,0.0002828639083857013,0.015102520083212298,0.01445888589742852,-0.003145742630366497,-0.02403182560826057,0.75276102438768,0.0113685884886744,40313272000000.0,72084752000000.0,89601240000000.0,4262820000000.0,21.019240784269567,1433742000000.0,-802677000000.0,852246000000.0,-848508000000.0,1212000000.0,0.5592482582169389,0.08833492275869938,0.485023774520023,0.0,0.0005269440980066845,-458305000000.0,-2000000000.0,0.029561405980640817
NVB,Private_3,2021,5,2021-12-31,2021,1702107000000.0,2310000000.0,0.020180115389351036,0.1080125057167371,0.0045710810915286695,1.7137548874529732e-05,0.0003283671707884565,0.030023487433707526,0.07580981760455281,0.01617874133362333,0.07997763118806134,0.5535453023303464,0.01661936042850299,41615019000000.0,64520093000000.0,73782685000000.0,4264220000000.0,17.30273883617637,1259219000000.0,-950593000000.0,751514000000.0,-749204000000.0,1400000000.0,0.6449931651524433,0.09437655336299655,0.5584801660530154,0.0,0.0017582145856760388,-691615000000.0,-11622000000.0,0.10583330503826034
NVB,Private_3,2022,5,2022-12-31,2022,1336994000000.0,1238000000.0,0.014084605614657204,0.09869723832685683,0.00752806719846579,9.778162401795852e-08,1.5954612318875263e-06,0.17929762063093685,0.05489321516600854,0.17558850567868298,0.16272781228334895,0.11215603594464553,0.020109310384272768,47722273000000.0,71350329000000.0,89847242000000.0,5764228000000.0,15.587038194880563,931777000000.0,-1027681000000.0,309313000000.0,-308075000000.0,8000000.0,0.6688444702196117,0.09273779242139164,0.7686504202711456,0.0,0.0016236883122242058,-959662000000.0,-57000000.0,0.23419083579694538
