TICKER,TRADE_DATE,Type,PE_RATIO,PX_TO_BOOK_RATIO
SOCB,2020-07-22,SOCB,16.3824,2.0585
SOCB,2020-07-23,SOCB,16.3824,2.0508
SOCB,2020-07-24,SOCB,16.0845,1.9659
SOCB,2020-07-27,SOCB,15.2902,1.8295
SOCB,2020-07-28,SOCB,15.5881,1.9479
SOCB,2020-07-29,SOCB,15.3895,1.9016
SOCB,2020-07-30,SOCB,15.3696,1.9144
SOCB,2020-07-31,SOCB,15.1711,1.8861
SOCB,2020-08-03,SOCB,15.6476,1.9144
SOCB,2020-08-04,SOCB,16.2632,1.9505
SOCB,2020-08-05,SOCB,16.4221,1.9942
SOCB,2020-08-06,SOCB,16.4419,1.9685
SOCB,2020-08-07,SOCB,16.4618,1.9608
SOCB,2020-08-10,SOCB,16.2632,1.9608
SOCB,2020-08-11,SOCB,16.3029,1.9813
SOCB,2020-08-12,SOCB,16.3029,2.0174
SOCB,2020-08-13,SOCB,16.4817,2.0405
SOCB,2020-08-14,SOCB,16.2831,2.0071
SOCB,2020-08-17,SOCB,16.3427,1.9916
SOCB,2020-08-18,SOCB,16.3427,1.9762
SOCB,2020-08-19,SOCB,16.4817,1.9865
SOCB,2020-08-20,SOCB,16.4817,1.9685
SOCB,2020-08-21,SOCB,16.4618,2.0045
SOCB,2020-08-24,SOCB,16.6604,2.0405
SOCB,2020-08-25,SOCB,16.6604,2.0328
SOCB,2020-08-26,SOCB,16.5809,2.0251
SOCB,2020-08-27,SOCB,16.5809,2.0122
SOCB,2020-08-28,SOCB,16.5611,2.0868
SOCB,2020-08-31,SOCB,16.4817,2.1074
SOCB,2020-09-01,SOCB,16.4817,2.1306
SOCB,2020-09-03,SOCB,17.1171,2.1718
SOCB,2020-09-04,SOCB,16.8589,2.1666
SOCB,2020-09-07,SOCB,16.6008,2.0894
SOCB,2020-09-08,SOCB,16.3824,2.1023
SOCB,2020-09-09,SOCB,16.3228,2.0997
SOCB,2020-09-10,SOCB,16.3029,2.0843
SOCB,2020-09-11,SOCB,16.3427,2.0817
SOCB,2020-09-14,SOCB,16.4817,2.0843
SOCB,2020-09-15,SOCB,16.3824,2.0971
SOCB,2020-09-16,SOCB,16.4618,2.0868
SOCB,2020-09-17,SOCB,16.3824,2.0843
SOCB,2020-09-18,SOCB,16.4618,2.11
SOCB,2020-09-21,SOCB,16.4817,2.0997
SOCB,2020-09-22,SOCB,16.6802,2.0946
SOCB,2020-09-23,SOCB,16.9582,2.1306
SOCB,2020-09-24,SOCB,17.0972,2.1049
SOCB,2020-09-25,SOCB,17.0774,2.0997
SOCB,2020-09-28,SOCB,17.0774,2.1254
SOCB,2020-09-29,SOCB,16.7994,2.092
SOCB,2020-09-30,SOCB,17.7237,2.0528
SOCB,2020-10-01,SOCB,17.8713,2.0604
SOCB,2020-10-02,SOCB,17.7027,2.0453
SOCB,2020-10-05,SOCB,17.5973,2.0327
SOCB,2020-10-06,SOCB,17.6816,2.0352
SOCB,2020-10-07,SOCB,17.9134,2.0352
SOCB,2020-10-08,SOCB,17.8713,2.0327
SOCB,2020-10-09,SOCB,17.8713,2.0302
SOCB,2020-10-12,SOCB,18.1031,2.0604
SOCB,2020-10-13,SOCB,18.2295,2.0755
SOCB,2020-10-14,SOCB,18.5878,2.1585
SOCB,2020-10-15,SOCB,18.6721,2.1258
SOCB,2020-10-16,SOCB,18.5878,2.1233
SOCB,2020-10-19,SOCB,18.4403,2.1082
SOCB,2020-10-20,SOCB,18.4824,2.1132
SOCB,2020-10-21,SOCB,18.1663,2.1308
SOCB,2020-10-22,SOCB,18.2506,2.161
SOCB,2020-10-23,SOCB,18.4403,2.1535
SOCB,2020-10-26,SOCB,18.1242,2.0629
SOCB,2020-10-27,SOCB,18.1242,2.0478
SOCB,2020-10-28,SOCB,17.7448,1.9774
SOCB,2020-10-29,SOCB,17.6184,1.9447
SOCB,2020-10-30,SOCB,17.4919,1.9371
SOCB,2020-11-02,SOCB,17.9103,1.9572
SOCB,2020-11-03,SOCB,17.9134,1.9824
SOCB,2020-11-04,SOCB,17.9134,2.0
SOCB,2020-11-05,SOCB,17.9134,1.9648
SOCB,2020-11-06,SOCB,17.9134,1.9648
SOCB,2020-11-09,SOCB,18.0188,1.9748
SOCB,2020-11-10,SOCB,17.9345,1.9824
SOCB,2020-11-11,SOCB,17.8923,1.9824
SOCB,2020-11-12,SOCB,18.2085,1.9924
SOCB,2020-11-13,SOCB,18.3138,2.0277
SOCB,2020-11-16,SOCB,18.082,2.0075
SOCB,2020-11-17,SOCB,18.4614,2.0277
SOCB,2020-11-18,SOCB,18.4398,2.0151
SOCB,2020-11-19,SOCB,18.6009,2.0327
SOCB,2020-11-20,SOCB,18.9692,2.073
SOCB,2020-11-23,SOCB,18.9232,2.0679
SOCB,2020-11-24,SOCB,18.739,2.0478
SOCB,2020-11-25,SOCB,19.0153,2.078
SOCB,2020-11-26,SOCB,19.6138,2.1434
SOCB,2020-11-27,SOCB,19.5448,2.1358
SOCB,2020-11-30,SOCB,19.1994,2.0981
SOCB,2020-12-01,SOCB,19.1994,2.0981
SOCB,2020-12-02,SOCB,19.1074,2.088
SOCB,2020-12-03,SOCB,19.1534,2.0931
SOCB,2020-12-04,SOCB,19.1764,2.0956
SOCB,2020-12-07,SOCB,19.6205,2.1635
SOCB,2020-12-08,SOCB,19.6205,2.1484
SOCB,2020-12-09,SOCB,20.1663,2.2038
SOCB,2020-12-10,SOCB,20.2354,2.2113
SOCB,2020-12-11,SOCB,20.4845,2.3044
SOCB,2020-12-14,SOCB,21.0535,2.3396
SOCB,2020-12-15,SOCB,20.611,2.3195
SOCB,2020-12-16,SOCB,21.0535,2.3849
SOCB,2020-12-17,SOCB,20.2316,2.3346
SOCB,2020-12-18,SOCB,20.8428,2.3648
SOCB,2020-12-21,SOCB,21.0128,2.3874
SOCB,2020-12-22,SOCB,20.8003,2.3572
SOCB,2020-12-23,SOCB,20.7153,2.3446
SOCB,2020-12-24,SOCB,20.6728,2.2893
SOCB,2020-12-25,SOCB,20.7365,2.3446
SOCB,2020-12-28,SOCB,20.8215,2.3874
SOCB,2020-12-29,SOCB,21.0765,2.4327
SOCB,2020-12-30,SOCB,20.8003,2.4176
SOCB,2020-12-31,SOCB,19.4402,2.5096
SOCB,2021-01-04,SOCB,19.6586,2.528
SOCB,2021-01-05,SOCB,19.7182,2.5096
SOCB,2021-01-06,SOCB,20.85,2.5568
SOCB,2021-01-07,SOCB,21.2472,2.562
SOCB,2021-01-08,SOCB,20.8103,2.5411
SOCB,2021-01-11,SOCB,20.7507,2.528
SOCB,2021-01-12,SOCB,20.9692,2.5541
SOCB,2021-01-13,SOCB,20.8103,2.5384
SOCB,2021-01-14,SOCB,20.6316,2.5594
SOCB,2021-01-15,SOCB,20.4926,2.5594
SOCB,2021-01-18,SOCB,20.5125,2.5489
SOCB,2021-01-19,SOCB,19.6586,2.3708
SOCB,2021-01-20,SOCB,19.6785,2.3839
SOCB,2021-01-21,SOCB,20.4529,2.4363
SOCB,2021-01-22,SOCB,20.4529,2.3708
SOCB,2021-01-25,SOCB,20.3536,2.3367
SOCB,2021-01-26,SOCB,20.0359,2.2293
SOCB,2021-01-27,SOCB,19.3409,2.1638
SOCB,2021-01-28,SOCB,17.9906,2.0145
SOCB,2021-01-29,SOCB,18.4672,2.0905
SOCB,2021-02-01,SOCB,18.0899,2.0486
SOCB,2021-02-02,SOCB,19.1622,2.0617
SOCB,2021-02-03,SOCB,19.6387,2.1664
SOCB,2021-02-04,SOCB,19.6387,2.1743
SOCB,2021-02-05,SOCB,19.8572,2.19
SOCB,2021-02-08,SOCB,18.6856,2.101
SOCB,2021-02-09,SOCB,19.3012,2.1376
SOCB,2021-02-17,SOCB,19.8572,2.2057
SOCB,2021-02-18,SOCB,20.2543,2.2738
SOCB,2021-02-19,SOCB,20.1153,2.3105
SOCB,2021-02-22,SOCB,19.9763,2.2922
SOCB,2021-02-23,SOCB,19.8572,2.3053
SOCB,2021-02-24,SOCB,19.4799,2.2555
SOCB,2021-02-25,SOCB,19.4997,2.2503
SOCB,2021-02-26,SOCB,19.4997,2.2843
SOCB,2021-03-01,SOCB,19.6983,2.3105
SOCB,2021-03-02,SOCB,19.7182,2.3079
SOCB,2021-03-03,SOCB,19.5395,2.2948
SOCB,2021-03-04,SOCB,19.321,2.2398
SOCB,2021-03-05,SOCB,19.1423,2.2215
SOCB,2021-03-08,SOCB,18.904,2.2241
SOCB,2021-03-09,SOCB,18.8643,2.1926
SOCB,2021-03-10,SOCB,18.9636,2.2005
SOCB,2021-03-11,SOCB,19.1225,2.2686
SOCB,2021-03-12,SOCB,19.0232,2.2712
SOCB,2021-03-15,SOCB,19.1225,2.2529
SOCB,2021-03-16,SOCB,19.0033,2.2215
SOCB,2021-03-17,SOCB,18.9835,2.2686
SOCB,2021-03-18,SOCB,19.3607,2.3577
SOCB,2021-03-19,SOCB,18.7055,2.3577
